title,price,currency,price_uf,price_clp,first_seen_price,uf_per_m2,zona_uf_m2,bedrooms,bedrooms_n,bathrooms,bathrooms_n,m2,m2_utiles,seller,tienda_oficial,location,barrio,property_kind,operation,property_type,comuna,listing_id,source,publicado_hace,publicado_fecha_est,first_seen_date,last_seen_date,days_published,delisted_date,url,parking,gastos_comunes_clp,enriched_date,bodegas,antiguedad_anos,m2_totales,m2_terraza,piso_unidad,pisos_edificio,deptos_por_piso,orientacion,lat,lng,finished_date
Carmen,74999999,CLP,1834.8,74999999.0,74999999.0,43.69,82.0,2 dormitorios,2.0,1 baño,1.0,42 m² útiles,42.0,,False,"CARMEN, Santa Isabel, Santiago",Santa Isabel,usada,venta,departamento,santiago-metropolitana,MLC2215975441,portalinmobiliario,hoy,2026-09-03,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-2215975441-carmen-_JM,0.0,70000.0,2026-09-03,0.0,0.0,42.0,,,,,SO,-33.4481785,-70.6422291,
Venta Departamento 2 Habitaciones Serrano  (5320),85000000,CLP,2079.4,85000000.0,85000000.0,44.24,74.0,2 dormitorios,2.0,1 baño,1.0,47 m² útiles,47.0,,False,"Serrano 266, Bulnes, Santiago",Bulnes,usada,venta,departamento,santiago-metropolitana,MLC2215972573,portalinmobiliario,hoy,2026-09-03,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-2215972573-venta-departamento-2-habitaciones-serrano-5320-_JM,0.0,70000.0,2026-09-03,0.0,15.0,50.0,3.0,21.0,,,N,-33.448088,-70.6486044,
Oportunidad - Depto Vista Norte - Metro Cal Y Canto,1600,CLF,1600.0,65402256.0,1600.0,44.44,71.0,1 dormitorio,1.0,1 baño,1.0,36 m² útiles,36.0,,False,"General Mackenna, 1260, Centro Histórico De Santiago, Santiago",Centro Histórico De Santiago,usada,venta,departamento,santiago-metropolitana,MLC2215982239,portalinmobiliario,hoy,2026-09-03,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-2215982239-oportunidad-depto-vista-norte-metro-cal-y-canto-_JM,0.0,75129.0,2026-09-03,0.0,16.0,39.0,3.0,14.0,1.0,15.0,N,-33.4333764,-70.655255,
Departamento Ideal Para Vivir O Invertir. (174116),2700,CLF,2700.0,110366307.0,2700.0,45.0,54.0,2 dormitorios,2.0,2 baños,2.0,60 m² útiles,60.0,,False,"Lord Cochrane 255 Santiago, Chile, Parque O'Higgins, Santiago",Parque O'Higgins,usada,venta,departamento,santiago-metropolitana,MLC4445092146,portalinmobiliario,hoy,2026-09-03,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-4445092146-departamento-ideal-para-vivir-o-invertir-174116-_JM,0.0,0.0,2026-09-03,1.0,20.0,70.0,10.0,10.0,16.0,12.0,N,-33.4601603,-70.6533773,
Departamento De 1 Dorm. Santiago Centro,46000000,CLP,1125.3,46000000.0,46000000.0,45.01,74.0,1 dormitorio,1.0,,,25 m² totales,25.0,,False,"Lord Cochrane, Parque Almagro, Santiago",Parque Almagro,usada,venta,departamento,santiago-metropolitana,MLC4445081598,portalinmobiliario,hoy,2026-09-03,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-4445081598-departamento-de-1-dorm-santiago-centro-_JM,0.0,350000.0,2026-09-03,0.0,0.0,25.0,,13.0,,,,-33.4558162,-70.6536555,
Mac Iver 3 Dormitorios - G,2500,CLF,2500.0,102191025.0,2500.0,46.3,53.0,3 dormitorios,3.0,1 baño,1.0,54 m² útiles,54.0,,False,"Mac Iver 265, Centro Histórico De Santiago, Santiago",Centro Histórico De Santiago,usada,venta,departamento,santiago-metropolitana,MLC2215995199,portalinmobiliario,hoy,2026-09-03,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-2215995199-mac-iver-3-dormitorios-g-_JM,0.0,100000.0,2026-09-03,0.0,37.0,54.0,,9.0,10.0,10.0,,-33.4396497,-70.6466476,
Departamento En Venta De 2 Dorm. En Santiago,112000000,CLP,2740.0,112000000.0,112000000.0,46.44,65.0,2 dormitorios,2.0,2 baños,2.0,59 m² útiles,59.0,,False,"Carmen, Santa Isabel, Santiago",Santa Isabel,usada,venta,departamento,santiago-metropolitana,MLC4445107518,portalinmobiliario,hoy,2026-09-03,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-4445107518-departamento-en-venta-de-2-dorm-en-santiago-_JM,1.0,105000.0,2026-09-03,0.0,0.0,62.0,3.0,,23.0,,O,-33.4506173,-70.6414493,
"2d,1b - Metro Ñuble",1785,CLF,1785.0,72964392.0,1785.0,46.97,79.0,2 dormitorios,2.0,1 baño,1.0,38 m² útiles,38.0,,False,"Santa Elena 1722, Santiago, Chile, Bogotá - Sierra Bella, Santiago",Bogotá - Sierra Bella,usada,venta,departamento,santiago-metropolitana,MLC4443888976,portalinmobiliario,hoy,2026-09-03,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-4443888976-2d1b-metro-nuble-_JM,0.0,80000.0,2026-09-03,0.0,,38.0,2.0,,,,P,-33.4662561,-70.6281024,
Venta Departamento A Pasos Plaza De Armas Y Metro,1699,CLF,1699.0,69449021.0,1699.0,47.19,73.0,1 dormitorio,1.0,1 baño,1.0,36 m² útiles,36.0,,False,"Santo Domingo, 736, Centro Histórico De Santiago, Santiago",Centro Histórico De Santiago,usada,venta,departamento,santiago-metropolitana,MLC2215982313,portalinmobiliario,hoy,2026-09-03,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-2215982313-venta-departamento-a-pasos-plaza-de-armas-y-metro-_JM,0.0,58000.0,2026-09-03,0.0,31.0,36.0,,8.0,1.0,4.0,S,-33.4359061,-70.647793,
"Vendo Lindo Departamento, 3d, 2b, 1e, 1b,  San Franciso 350",120000000,CLP,2935.7,120000000.0,120000000.0,47.35,54.0,3 dormitorios,3.0,2 baños,2.0,62 m² útiles,62.0,,False,"San Francisco, 350, San Diego, Santiago",San Diego,usada,venta,departamento,santiago-metropolitana,MLC2215969303,portalinmobiliario,hoy,2026-09-03,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-2215969303-vendo-lindo-departamento-3d-2b-1e-1b-san-franciso-350-_JM,1.0,120000.0,2026-09-03,1.0,24.0,65.0,,8.0,20.0,4.0,,-33.449265,-70.646864,
