title,price_uf,price_clp,m2_utiles,uf_per_m2,zona_uf_m2,bedrooms_n,parking,gastos_comunes_clp,comuna,barrio,first_seen_date,publicado_fecha_est,url
Especial Familia Con Mascotas Condominio Cerrado,1810.2,74000000.0,49.0,36.94,72.0,3.0,0.0,100000.0,Santiago,Parque O'Higgins,2026-08-31,2026-08-31,https://www.portalinmobiliario.com/MLC-4430689878-especial-familia-con-mascotas-condominio-cerrado-_JM
Departamento En Venta De 3 Dorm. En Santiago,3180.0,129999545.0,86.0,36.98,55.0,3.0,0.0,60000.0,Santiago,San Diego,2026-08-27,2026-08-27,https://www.portalinmobiliario.com/MLC-2196891963-departamento-en-venta-de-3-dorm-en-santiago-_JM
"Departamento 2d,2b Piso 1 En Patio Interior  (64147)",2079.2,85000000.0,56.0,37.13,54.0,2.0,0.0,98000.0,Santiago,San Diego,2026-08-27,2026-08-27,https://www.portalinmobiliario.com/MLC-2198157449-departamento-2d2b-piso-1-en-patio-interior-64147-_JM
Venta Departamento Santiago 2 Dormitorios Parque Almagro,1909.0,78040607.0,51.0,37.43,74.0,2.0,0.0,100000.0,Santiago,San Diego,2026-08-25,2026-08-25,https://www.portalinmobiliario.com/MLC-4398172264-venta-departamento-santiago-2-dormitorios-parque-almagro-_JM
Vendo Departamento 2 Dormitorios Metro Irarrazaval,1834.6,75000000.0,49.0,37.44,82.0,2.0,0.0,90000.0,Santiago,Barrio Diez De Julio,2026-08-25,2026-08-25,https://www.portalinmobiliario.com/MLC-4397433556-vendo-departamento-2-dormitorios-metro-irarrazaval-_JM
"Precio Liquidación Inversionistas Departamento 3d,1b",1910.0,78081488.0,51.0,37.45,74.0,3.0,0.0,125000.0,Santiago,Parque Almagro,2026-09-01,2026-09-01,https://www.portalinmobiliario.com/MLC-4439742534-precio-liquidacion-inversionistas-departamento-3d1b-_JM
"2d,2b - 48m2 Eleuterio Con Cochrane",1800.0,73584648.0,48.0,37.5,74.0,2.0,0.0,90000.0,Santiago,Parque Almagro,2026-08-26,2026-08-26,https://www.portalinmobiliario.com/MLC-4404571194-2d2b-48m2-eleuterio-con-cochrane-_JM
Oportunidad Inversionista 2d1b Santiago,1390.0,56823700.0,37.0,37.57,74.0,2.0,0.0,55000.0,Santiago,Parque O'Higgins,2026-08-27,2026-08-27,https://www.portalinmobiliario.com/MLC-2196956031-oportunidad-inversionista-2d1b-santiago-_JM
Venta Departamento 2hab 1ba Santiago,1881.1,76900000.0,50.0,37.62,72.0,2.0,0.0,70000.0,Santiago,Parque O'Higgins,2026-08-29,2026-08-29,https://www.portalinmobiliario.com/MLC-2203321117-venta-departamento-2hab-1ba-santiago-_JM
Cómodo Departamento A Pasos Del Parque O'higgins,1882.0,76936838.0,50.0,37.64,72.0,2.0,0.0,95000.0,Santiago,Parque O'Higgins,2026-09-02,2026-09-02,https://www.portalinmobiliario.com/MLC-2212095841-comodo-departamento-a-pasos-del-parque-ohiggins-_JM
Club Hípico,3200.0,130817152.0,85.0,37.65,49.0,3.0,0.0,110000.0,Santiago,Barrio República,2026-08-26,2026-08-26,https://www.portalinmobiliario.com/MLC-2194358929-club-hipico-_JM
"Recuperado Banco Depto 2d 1b Cóndor 1291, Santigo Centro",2448.0,100075121.0,65.0,37.66,54.0,2.0,0.0,,Santiago,Parque Almagro,2026-08-24,2026-08-24,https://www.portalinmobiliario.com/MLC-4391462008-recuperado-banco-depto-2d-1b-condor-1291-santigo-centro-_JM
Departamento A Pasos Del Metro La Moneda,3390.0,138584420.0,90.0,37.67,50.0,3.0,0.0,78000.0,Santiago,Barrio Yungay,2026-08-29,2026-08-29,https://www.portalinmobiliario.com/MLC-4421809588-departamento-a-pasos-del-metro-la-moneda-_JM
